bank;indice_bcb;total_clientes;ano;trimestre;periodo;ordem_cronologica
BS2 (conglomerado);132.84;372629;2026;2;Q2/26;20262
BTG PACTUAL/BANCO PAN (conglomerado);41.98;27822773;2026;2;Q2/26;20262
BULLLA IP (conglomerado);70.83;800000;2026;2;Q2/26;20262
CAIXA ECONÔMICA FEDERAL (conglomerado);23.32;160248714;2026;2;Q2/26;20262
CAIXA GERAL (conglomerado);0.0;0;2026;2;Q2/26;20262
CALCARD IP (conglomerado);0.0;944444;2026;2;Q2/26;20262
CELCOIN IP (conglomerado);20.94;10076409;2026;2;Q2/26;20262
CIELO IP (conglomerado);0.0;1678571;2026;2;Q2/26;20262
CITIBANK (conglomerado);0.0;17045;2026;2;Q2/26;20262
CLARA IP (conglomerado);0.0;22222;2026;2;Q2/26;20262
CLARO PAY IP (conglomerado);0.0;1137931;2026;2;Q2/26;20262
CLOUDWALK IP (conglomerado);4.72;16313559;2026;2;Q2/26;20262
COBUCCIO SCFI (conglomerado);260.61;3990637;2026;2;Q2/26;20262
CONTAAZUL IP (conglomerado);0.0;27083;2026;2;Q2/26;20262
COOPER CARD IP (conglomerado);0.0;51724;2026;2;Q2/26;20262
CORA SCFI (conglomerado);0.0;2500000;2026;2;Q2/26;20262
CREDI SHOP S.A. (conglomerado);0.0;642857;2026;2;Q2/26;20262
CREDIARE CFI (conglomerado);0.0;222222;2026;2;Q2/26;20262
CREDSYSTEM IP (conglomerado);28.18;4088006;2026;2;Q2/26;20262
CREFISA S.A. CFI (conglomerado);108.3;8162512;2026;2;Q2/26;20262
DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO - PRUDENCIA (conglomerado);0.0;190476;2026;2;Q2/26;20262
DM SCFI (conglomerado);69.36;4656863;2026;2;Q2/26;20262
DOCK IP (conglomerado);10.37;4455169;2026;2;Q2/26;20262
EAGLE SCD (conglomerado);0.0;1852;2026;2;Q2/26;20262
EBANX IP (conglomerado);17.78;3177778;2026;2;Q2/26;20262
EDENRED SOLUCOES E IP AHA (conglomerado);0.0;756757;2026;2;Q2/26;20262
EFI S.A. IP (conglomerado);103.55;686624;2026;2;Q2/26;20262
EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS IP - (conglomerado);0.0;925926;2026;2;Q2/26;20262
FACTA S.A. CFI (conglomerado);1834.45;1523810;2026;2;Q2/26;20262
FINAMAX S.A. CFI (conglomerado);0.0;29412;2026;2;Q2/26;20262
FITBANK IP (conglomerado);0.0;211538;2026;2;Q2/26;20262
FLAGSHIP IP (conglomerado);0.0;105263;2026;2;Q2/26;20262
FLASH TECNOLOGIA IP (conglomerado);0.0;440000;2026;2;Q2/26;20262
FORIS GFS BR IP (conglomerado);0.0;329268;2026;2;Q2/26;20262
GAZINCRED SCFI (conglomerado);0.0;142857;2026;2;Q2/26;20262
GENIAL (conglomerado);17.84;2539238;2026;2;Q2/26;20262
GM (conglomerado);0.0;270833;2026;2;Q2/26;20262
GOLCRED (conglomerado);0.0;42188;2026;2;Q2/26;20262
GOOGLE PAY BRASIL IP (conglomerado);0.0;0;2026;2;Q2/26;20262
HONDA (conglomerado);0.0;125;2026;2;Q2/26;20262
HS FINANCEIRA (conglomerado);0.0;225000;2026;2;Q2/26;20262
IFOOD PAGO IP (conglomerado);0.0;926829;2026;2;Q2/26;20262
INDUSTRIAL DO BRASIL (conglomerado);0.0;88889;2026;2;Q2/26;20262
INOVANTI IP (conglomerado);0.0;2632;2026;2;Q2/26;20262
INTER (conglomerado);26.15;44474187;2026;2;Q2/26;20262
ITAU (conglomerado);46.87;98058460;2026;2;Q2/26;20262
IUGU IP (conglomerado);0.0;277778;2026;2;Q2/26;20262
JBCRED S.A. SCFI (conglomerado);0.0;60000;2026;2;Q2/26;20262
JP MORGAN CHASE (conglomerado);0.0;0;2026;2;Q2/26;20262
KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO;0.0;219;2026;2;Q2/26;20262
KREDILIG S.A. - CFI (conglomerado);0.0;418605;2026;2;Q2/26;20262
LEBES FINANCEIRA SCFI (conglomerado);0.0;390244;2026;2;Q2/26;20262
LECCA (conglomerado);0.0;28571;2026;2;Q2/26;20262
MAGALUPAY IP (conglomerado);0.0;3491525;2026;2;Q2/26;20262
MAX IP (conglomerado);0.0;0;2026;2;Q2/26;20262
MERCADO BITCOIN IP (conglomerado);0.0;31250;2026;2;Q2/26;20262
MERCADO PAGO IP (conglomerado);31.57;74472601;2026;2;Q2/26;20262
MERCANTIL DO BRASIL (conglomerado);211.23;8985471;2026;2;Q2/26;20262
MÊNTORE IP (conglomerado);182.26;1327772;2026;2;Q2/26;20262
MIDWAY S.A. - SCFI (conglomerado);0.0;9000000;2026;2;Q2/26;20262
MT INSTITUICAO DE PAGAMENTO SA;0.0;59;2026;2;Q2/26;20262
NAIP IP (conglomerado);0.0;1865385;2026;2;Q2/26;20262
NEGRESCO S.A. - CFI (conglomerado);0.0;547619;2026;2;Q2/26;20262
NEON PAGAMENTOS IP (conglomerado);33.74;27356284;2026;2;Q2/26;20262
NG CASH IP (conglomerado);12.83;3819149;2026;2;Q2/26;20262
NOVO BCO CONTINENTAL S.A. - BM (conglomerado);49.12;1140000;2026;2;Q2/26;20262
NU PAGAMENTOS (conglomerado);9.2;117391304;2026;2;Q2/26;20262
NVIO BRASIL BITSO IP (conglomerado);0.0;1296296;2026;2;Q2/26;20262
OKTO IP (conglomerado);0.0;36;2026;2;Q2/26;20262
OMNI (conglomerado);0.0;1902439;2026;2;Q2/26;20262
ONEKEY PAYMENTS IP (conglomerado);0.0;143;2026;2;Q2/26;20262
ORIGINAL (conglomerado);63.89;1242188;2026;2;Q2/26;20262
OURIBANK (conglomerado);0.0;1481481;2026;2;Q2/26;20262
PAGBRASIL TECNOLOGIA IP (conglomerado);0.0;1;2026;2;Q2/26;20262
PAGCERTO IP (conglomerado);0.0;82895;2026;2;Q2/26;20262
PAGHIPER INSTITUIÇAO DE PAGAMENTO LTDA.;0.0;5;2026;2;Q2/26;20262
PAGME INSTITUIÇÃO DE PAGAMENTO LTDA.;0.0;8696;2026;2;Q2/26;20262
PAGSEGURO (conglomerado);28.98;35852312;2026;2;Q2/26;20262
PAGSMILE IP (conglomerado);0.0;0;2026;2;Q2/26;20262
PAGUEVELOZ IP (conglomerado);0.0;4642857;2026;2;Q2/26;20262
PARANÁ BANCO (conglomerado);40.91;2444444;2026;2;Q2/26;20262
PARATI CFI (conglomerado);33000.0;10000;2026;2;Q2/26;20262
PAY2ALL IP (conglomerado);0.0;13;2026;2;Q2/26;20262
PAY4FUN IP S.A. (conglomerado);0.0;30;2026;2;Q2/26;20262
PAYPAL DO BRASIL IP (conglomerado);0.0;229167;2026;2;Q2/26;20262
PEFISA S.A. (conglomerado);71.39;4902647;2026;2;Q2/26;20262
PICPAY (conglomerado);35.66;70611329;2026;2;Q2/26;20262
PINBANK BRASIL IP (conglomerado);0.0;27083;2026;2;Q2/26;20262
PINE (conglomerado);471.21;2508436;2026;2;Q2/26;20262
PLUXEE IP (conglomerado);0.0;1187500;2026;2;Q2/26;20262
PORTO SEGURO (conglomerado);130.65;3520932;2026;2;Q2/26;20262
PROTOTYPE IP (conglomerado);150000.0;714;2026;2;Q2/26;20262
PROVER PROMOCAO DE VENDAS IP (conglomerado);0.0;176;2026;2;Q2/26;20262
QISTA S.A. CFI (conglomerado);0.0;112500;2026;2;Q2/26;20262
QUERO-QUERO VERDECARD IP (conglomerado);0.0;695652;2026;2;Q2/26;20262
RANDON (conglomerado);0.0;9868;2026;2;Q2/26;20262
REALIZE SCFI (conglomerado);11.75;7097872;2026;2;Q2/26;20262
RECARGAPAY IP (conglomerado);14.2;14154930;2026;2;Q2/26;20262
RENDIMENTO (conglomerado);0.0;323529;2026;2;Q2/26;20262
RODOBENS (conglomerado);0.0;27344;2026;2;Q2/26;20262
RPW S/A SCFI (conglomerado);0.0;7;2026;2;Q2/26;20262
SAFRA (conglomerado);120.47;4515647;2026;2;Q2/26;20262
SANTANDER (conglomerado);34.19;72301843;2026;2;Q2/26;20262
SANTINVEST (conglomerado);0.0;11458;2026;2;Q2/26;20262
SEM PARAR IP (conglomerado);0.0;1936620;2026;2;Q2/26;20262
SENFFNET IP (conglomerado);126.32;783784;2026;2;Q2/26;20262
SHPP BRASIL IP (conglomerado);7.98;9273183;2026;2;Q2/26;20262
SIMPALA CFI (conglomerado);0.0;50;2026;2;Q2/26;20262
SOCINAL S.A. CFI (conglomerado);0.0;3514;2026;2;Q2/26;20262
SOFISA (conglomerado);131.25;1459040;2026;2;Q2/26;20262
SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;0.0;147;2026;2;Q2/26;20262
STARK SCD (conglomerado);0.0;1852;2026;2;Q2/26;20262
STELLANTIS (conglomerado);0.0;268293;2026;2;Q2/26;20262
STONE IP (conglomerado);16.59;14984931;2026;2;Q2/26;20262
SUMUP IP (conglomerado);0.0;127;2026;2;Q2/26;20262
SUPERBID PAY IP (conglomerado);0.0;431034;2026;2;Q2/26;20262
SWAP IP (conglomerado);0.0;2750000;2026;2;Q2/26;20262
SWILE IP (conglomerado);0.0;1593;2026;2;Q2/26;20262
TODESCREDI S/A - CFI (conglomerado);0.0;47222;2026;2;Q2/26;20262
TRANSFEERA IP (conglomerado);0.0;2619;2026;2;Q2/26;20262
TRANSFERO IP (conglomerado);0.0;11;2026;2;Q2/26;20262
TRIO IP (conglomerado);0.0;232;2026;2;Q2/26;20262
TYCOON TECHNOLOGY IP (conglomerado);0.0;2222;2026;2;Q2/26;20262
UBS (BRASIL) (conglomerado);0.0;4717;2026;2;Q2/26;20262
V3 IP (conglomerado);0.0;42857;2026;2;Q2/26;20262
VALOR CFI (conglomerado);0.0;38889;2026;2;Q2/26;20262
VIA CERTA CFI (conglomerado);0.0;261194;2026;2;Q2/26;20262
VISA CONECTA IP (conglomerado);0.0;0;2026;2;Q2/26;20262
VOLKSWAGEN (conglomerado);196.23;613793;2026;2;Q2/26;20262
VOLVO (conglomerado);0.0;9146;2026;2;Q2/26;20262
VOTORANTIM (conglomerado);55.26;9410062;2026;2;Q2/26;20262
VOX IP (conglomerado);0.0;351064;2026;2;Q2/26;20262
VR (conglomerado);0.0;38298;2026;2;Q2/26;20262
WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;102.73;13793103;2026;2;Q2/26;20262
WISE BRASIL CC (conglomerado);0.0;4458333;2026;2;Q2/26;20262
WOOVI IP (conglomerado);0.0;2794;2026;2;Q2/26;20262
XP (conglomerado);30.98;7350355;2026;2;Q2/26;20262
YAMAHA MOTOR (conglomerado);0.0;263158;2026;2;Q2/26;20262
Z1 INSTITUIÇÃO DE PAGAMENTO (conglomerado);0.0;8;2026;2;Q2/26;20262
ZEMA CFI (conglomerado);0.0;328448;2026;2;Q2/26;20262
ZERO IP (conglomerado);0.0;59091;2026;2;Q2/26;20262
